sLap,curv,theta,xi,yi
58.295997171539,0.0288369799754563,-0.6760293633635288,56.20389754747186,-10.782245110801655
58.4950897765747,0.0302884017600679,-0.6626529043988664,56.5520672607328,-11.053944410630036
59.1792698559563,0.033761853654654,-0.6395537166853553,57.10102749193137,-11.46228868398895
59.8634499353379,0.0350015117677443,-0.6240957770564775,57.45941178265548,-11.72036494969653
60.0625425403735,0.0349637376980254,-0.6171347554363943,57.62177975011815,-11.835580003061635
60.2616351454092,0.0347660479894357,-0.6017808051692896,57.98583330106017,-12.08559534420282
60.9458152247908,0.0329638128841179,-0.5792276210535137,58.558413813760104,-12.460100267399946
61.6299953041724,0.0297825412423604,-0.5660745684775609,58.931160527143085,-12.696960028485654
61.829087909208,0.0286654938428109,-0.5603674806337622,59.09980387993174,-12.802777252698359
62.0281805142437,0.0274850767524643,-0.5482290718714798,59.476717897820926,-13.032947802243834
62.7123605936253,0.0231260217630962,-0.532406708465824,60.06619917667932,-13.380243357784199
63.3965406730069,0.0186006403964675,-0.5241919896783896,60.44853640853003,-13.601288375597694
63.5956332780426,0.0173093390546138,-0.5207458282745613,60.62123896048235,-13.700342370615745
63.7947258830782,0.016037315236754,-0.513663167034555,61.00588230110945,-13.917349649919041
64.4789059624598,0.0119124920830387,-0.5055128772555488,61.60448939552548,-14.248668118371086
65.1630860418414,0.0082383188299306,-0.5018745362615497,61.99166416860825,-14.46112600560462
65.3621786468771,0.0072667282791423,-0.500427784398369,62.166343518948466,-14.556650818844961
65.5612712519127,0.0063363967549606,-0.4976294013127257,62.55441671305842,-14.767463187487525
66.2454513312943,0.0034594169945286,-0.4952625371187951,63.15638842760784,-15.092628431486702
66.9296314106759,0.0010494111856818,-0.49479907900127773,63.545056733499045,-15.302341584996652
67.1287240157116,0.0004303956292237,-0.4947133904142596,63.72027909527849,-15.396866657397123
67.3278166207472,-0.0001535677576056,-0.4947812115170097,64.10895114815409,-15.606572866348738
68.0119967001288,-0.0019002924431004,-0.4960813537515784,64.7106564102239,-15.932230905739925
68.6961767795104,-0.0032747986744362,-0.4975276238596261,65.09875105826987,-16.1430037761894
68.8952693845461,-0.0036106164251596,-0.49824647088949586,65.2736383624372,-16.238147332045727
69.0943619895818,-0.0039200847085615,-0.49997772276133307,65.66121543175892,-16.449870439181964
69.7785420689634,-0.0047975803944189,-0.5032601316964261,66.2605673828284,-16.7798395586035
70.462722148345,-0.0054229304398292,-0.505655094859924,66.64693618146379,-16.99375966097922
70.6618147533806,-0.0055643016295997,-0.5067629061665652,66.82100686926961,-17.090389164893338
