sLap,t,n,xi,u,v,dpsi,x_ir,y_ir,psi,delta,Sxfl,Sxfr,Sxrl,Sxrr,acc_x,acc_y,alpha_fl,alpha_fr,alpha_rl,alpha_rr,kappa_fl,kappa_fr,kappa_rl,kappa_rr,Fz_fl,Fz_fr,Fz_rl,Fz_rr,Fx_fl,Fx_fr,Fx_rl,Fx_rr,Fy_fl,Fy_fr,Fy_rl,Fy_rr,power_wheel
676.2013350917915,35.483507794340134,-0.06850593306451806,-0.0004260695252720576,18.824479644979085,0.08984955788532034,0.5495196067716778,145.6969029986532,57.73647119444736,1.6031097088441166,0.11103436328616946,0.07392912077778607,0.050182052013014386,0.07612085599960013,0.06794670481305905,15.07442749648163,7.074376316935862,-4.703386529925682,-4.649247947236562,-0.8678372939080478,-0.8961796901762782,0.07392912077778607,0.050182052013014386,0.07612085599960013,0.06794670481305905,201.54987344871557,627.1817708643609,1060.5058823416891,1486.1377797573343,254.50204897564794,630.531323784346,1527.5553058197063,2032.594465781928,215.9281688564238,756.771665025822,224.1088440953811,338.299824833168,76643.80187797637
677.9117852902455,35.5714888088656,-0.06989369499927256,0.0046604708556588215,20.119159751062643,-0.1917783877168622,0.5062586727045794,145.60564002326106,59.447279077049366,1.6498069707986065,0.09916415073937455,0.06958824835144503,0.044952100628491753,0.07527969865608193,0.06552702080916656,14.397935054507055,7.345727815258013,-5.02062463008698,-5.000444285624644,-1.5188317729597232,-1.5651787820163787,0.06958824835144503,0.044952100628491753,0.07527969865608193,0.06552702080916656,237.59317174588935,679.5510105481898,1066.812400003877,1508.7702388061775,284.159713663643,607.7393643647936,1503.798889587696,1996.1342622554662,272.9515194331493,875.0910532603306,390.811420247073,601.0553090162645,79999.3854876817
679.6222354886994,35.654221300704734,-0.08143717971280846,0.008764684270069592,21.269748282874072,-0.3461466753752609,0.4294870064701676,145.45916617615225,61.15401582746321,1.6887866823411586,0.08752454189047887,0.0590656093628707,0.031042350003845767,0.06958653494889025,0.056912631778920114,13.665356160073955,8.599186650880663,-4.971103554983847,-4.969843042885493,-1.7068083922435784,-1.7560271355544004,0.0590656093628707,0.031042350003845767,0.06958653494889025,0.056912631778920114,243.8591458585019,761.2316980767766,1040.5513528828033,1557.9239051010777,271.120765031938,512.0413762615959,1449.7548836267633,1981.8058951052217,300.76291918026857,1049.4556128288082,455.0972198060751,761.5112926645646,79999.41706481336
680.1199670012886,35.677493582887585,-0.08508629771926743,0.008956065898915438,21.581808417046958,-0.34668764402536323,0.41762389079327783,145.4062238763279,61.64973838649431,1.6984508172493067,0.08410555260716293,0.055427765599564346,0.02863417049889755,0.0658342299744458,0.053666777183864305,13.49145813439217,8.923310606515669,-4.803470708941819,-4.803032177402913,-1.6624635071282123,-1.7097019653110679,0.055427765599564346,0.02863417049889755,0.0658342299744458,0.053666777183864305,245.7020915620664,782.5756553259844,1034.7693661567166,1571.6429299206345,268.21305209212954,502.4208322624832,1433.9337910829295,1974.5372516673085,304.91774490171565,1074.5956522461888,461.10078172142255,779.4238127675704,80244.37246015978
680.6176985138778,35.700426063337495,-0.08850008731612763,0.009142539807236786,21.88580915902738,-0.3437405347689517,0.40266606134335386,145.348402024256,62.144925994517884,1.7078811829274598,0.08061647924329024,0.05150933267671904,0.026582063945405313,0.06027467964086188,0.05026167872401291,13.318984990486236,9.238133309623432,-4.628771662989027,-4.629045973324433,-1.6054358901888521,-1.650413184336889,0.05150933267671904,0.026582063945405313,0.06027467964086188,0.05026167872401291,247.70275437559786,803.5177171364128,1029.205315625758,1585.020278386573,263.6257382645954,495.0457967449866,1404.7488958031802,1959.5008583813883,309.25357710097353,1095.0823426650225,473.0751387149083,793.1046958034626,79999.43093936132
682.3281487123318,35.77696756682646,-0.09746232651620977,0.007023940735146699,22.875947539216966,-0.24367591478123807,0.3352871073630504,145.1121337693441,63.84177463995324,1.7362362581539617,0.06852363067896008,0.03882968473476791,0.023665339362671838,0.040368107892098125,0.0449040149279109,12.780854324013069,9.764474857452244,-3.8287459418745016,-3.8261362868172695,-1.1746892655385446,-1.2061634031708868,0.03882968473476791,0.023665339362671838,0.040368107892098125,0.0449040149279109,269.3872303615561,856.8696845950467,1027.4311360119952,1614.9135902454857,257.35644126780613,530.9320878176367,1218.3096489018878,1973.019004816625,325.7205322620797,1076.7550896218436,438.18569759705986,646.6213932207805,79999.64951545942
684.0385989107857,35.85036345255273,-0.09999783611229482,0.0030411475963858644,23.7927471926667,-0.04998385610391283,0.2528994014539383,144.82203977695718,65.52999264244764,1.7579344345059467,0.05674431986845968,0.028414105154223414,0.023269527327975693,0.024927987375467198,0.046548559592830364,12.307502785413375,9.08122350907287,-2.862369550976764,-2.852355109986097,-0.5342344135568516,-0.5479929898166959,0.028414105154223414,0.023269527327975693,0.024927987375467198,0.046548559592830364,325.0661629518407,871.4406021753987,1062.6522434057674,1609.0266826293255,267.5432903364138,601.244820252804,931.1521974386686,2051.099362402273,340.88950423808006,914.8823881078555,243.33303526666023,294.50312337244475,79999.35206937917
684.5363304233749,35.87119885449413,-0.0991271393064902,0.0019848254602600375,24.04785545015388,0.015381545612240045,0.22793573738480818,144.72833409990173,66.0194264885105,1.7629268676010867,0.05346427167380672,0.026005051138982476,0.02289802913984165,0.022346071196638447,0.047811600106993236,12.178215726756408,8.58965094804183,-2.5743033579908245,-2.5618455587031446,-0.3342718842691576,-0.3427884855292474,0.026005051138982476,0.02289802913984165,0.022346071196638447,0.047811600106993236,349.73724754884324,866.5360814475584,1081.7597891532446,1598.5586230519598,274.406587802546,609.1774357744423,872.5562388891781,2066.075448698897,342.3222264056369,844.0241615289023,158.8044273505345,180.93248708876163,80139.62797805057
685.0340619359641,35.89181034409484,-0.09747868418801481,0.0010833144878777123,24.29772422460546,0.07932334391357793,0.213534002007849,144.63107976859817,66.50811955949422,1.7673833544278057,0.050269840147962326,0.02386143150205544,0.02197805304500851,0.020635355114878323,0.04849063386651195,12.051234536668458,8.001375007696941,-2.2756462726195505,-2.260403343831781,-0.1587849965527943,-0.16278847705338315,0.02386143150205544,0.02197805304500851,0.020635355114878323,0.04849063386651195,377.1932099958917,858.5982517812945,1103.7557778722376,1585.1608196576403,282.14706451038506,601.1323289876418,835.9226927501072,2063.6672049567965,337.93094507641854,763.8569295317565,78.12542470252639,84.71022449538042,79999.31525504429
686.7445121344181,35.961074154155085,-0.08369570455044437,0.00312926173239427,25.120024952676204,0.2193534617103966,0.1737554794914049,144.27428610647945,68.18204164548327,1.7810148659508942,0.03968276063707278,0.017397909988899334,0.020597879109589316,0.017309867548632077,0.051704558446835795,11.627805564846279,5.745891022673252,-1.4487382684174706,-1.4286313710167864,0.22386720739032293,0.2293245699384648,0.017397909988899334,0.020597879109589316,0.017309867548632077,0.051704558446835795,477.78446460867576,823.4876600224054,1186.1568068814483,1531.860002295178,287.0439915687249,583.7789216969594,774.7543943803279,2035.1656320629736,297.45432179183473,498.34412448,-121.16474861666735,-110.99912478725501,79999.48424633728
